index,error,rmse
1,1291.4118899544148,139.1248491686339
2,59585.2319280635,262.35779007493124
3,1291.4117784828595,139.16157532711392
4,1291.411822137662,139.16603264644107
5,1291.4117298613278,139.16257211286631
6,57412.76113118746,375.20924652359014
7,1291.411566643802,139.16113554384214
8,1291.4118202464144,139.16693872147815
9,1291.4118037069743,139.18243310823877
10,57412.67565022488,373.8244633321257
11,1291.4110275765177,139.16435275954527
12,1291.4117095317388,139.1601371716131
13,1291.4117916567875,139.15117522680248
14,1291.4118888907074,139.144815582091
15,1291.4118195372869,139.13493545435577
16,1291.4116873586663,139.1400762808137
17,1291.4117578044954,139.15265799419657
18,1291.411814583977,139.1395024833427
19,1291.4116084965665,139.1365607820368
20,152589.93818385687,244.15224843651097
21,1291.4117420849295,139.176008217242
22,1291.4116523552525,139.18282005136777
23,2661.164798680994,64.17481672666736
24,1291.4117772907368,139.14628266386563
25,1291.4118087805932,139.1519841543095
26,1291.4117630571782,139.12962964124935
27,1291.4117619343929,139.17310763393138
28,1291.4116973752268,139.13373431110682
29,1291.4117431059851,139.19652183126502
30,1291.4118363992682,139.15658141168277
31,1291.4117469897717,139.14329844024263
32,1291.4117929179004,139.1803005570532
33,1291.4118719180274,139.16491175921382
34,59674.10462539203,261.805335031352
35,1291.4116853695382,139.16897990467982
36,57412.66914223402,373.2490696028772
37,1291.411690277277,139.16696340019794
38,1291.411627527904,139.1566773152638
39,1291.4117604979772,139.16772113141457
40,57412.67574103026,373.97284063229876
41,58063.25375794262,358.9078816746982
42,1291.4117593629032,139.13491378784212
43,1291.4117466398816,139.14977707495697
44,1291.411725374366,139.1475178346994
45,1291.4117704786754,139.14930029609445
46,1291.4118500655534,139.122817936859
47,1291.4118978760207,139.19619919617665
48,1291.411874817894,139.11741493051431
49,1291.4117833384992,139.14951929179
50,1291.4118007037057,139.15892886745885
