index,error,rmse
1,3983.828675496265,174.9019104286062
2,4001.3316352155102,172.37239245418758
3,3983.739945310994,174.8985405063257
4,3994.953606851221,170.8958605669515
5,4000.67577607319,171.73832215894632
6,2397.772823349416,154.25827494973169
7,3988.111356024936,174.46492227595184
8,2397.774006984847,154.28948030865052
9,2397.773625128505,154.30256613001123
10,2397.772999281803,154.30395148393205
11,2397.773602403235,154.2786491340538
12,2397.771516583342,154.2737584364549
13,2397.77339723062,154.28239797196935
14,2397.772412883536,154.26971012142386
15,2397.771986086204,154.28606790690446
16,2397.7716362450496,154.2964496933112
17,3984.873231746675,174.75687831302696
18,2397.770764717374,154.3014546256624
19,2397.7736645021023,154.2857413785786
20,2397.7734109244902,154.2552101121741
21,2397.772594797448,154.2612684727188
22,2397.773457359346,154.2802804431143
23,3980.8908226441863,175.15276101013174
24,3985.135117145201,174.89481777571442
25,2397.766946619399,154.28645818572318
26,2260.5093341020697,143.50355899301536
27,2397.771097509822,154.29654925608295
28,3990.116241409905,174.2810434450184
29,2397.7729183322563,154.25828469767606
30,2397.6285911498207,154.2780781141962
31,2397.773763863648,154.2716470799372
32,2397.772911463027,154.31167389759688
33,2397.774023401893,154.27107736107823
34,3998.22594352228,173.2245788291234
35,2260.521353484549,143.5259193090827
36,2397.772667791525,154.27954492082029
37,2397.773258855568,154.29992156515104
38,2397.772788341956,154.24187383626642
39,2397.7732275898675,154.28745653930827
40,2397.7736696676066,154.3026979394963
41,4000.994875023461,171.8098955599059
42,3984.2134412323926,174.81749465571775
43,39303.04264212202,239.37150636639652
44,2397.773332782044,154.26118709179585
45,2397.770856161823,154.28628088225895
46,2397.77397242246,154.24195572752026
47,2397.773488270223,154.26474976902617
48,2397.773550079752,154.29228501982678
49,4000.805260786036,171.7721487093265
50,2397.7737534679777,154.30700232198265
