index,error,rmse
1,1390.9750654775464,113.92859570888878
2,1390.9752178253486,113.9607871799207
3,1390.975019425289,113.9370130250226
4,1390.9750016431358,113.92721956983004
5,1390.975066691487,113.89188760980876
6,1390.9750187741795,113.94127744535193
7,1390.975087268036,113.91552682562865
8,1390.9750840916693,113.9287680457503
9,1390.9751592755154,113.91134544031243
10,1390.9750211702917,113.9374561700377
11,1390.9750605415477,113.9305306333225
12,1390.9750141519985,113.97250934098615
13,1390.975009906281,113.96359850215174
14,1390.975129073428,113.92819793938897
15,1390.975207780767,113.88913802570487
16,1390.9751292603476,113.92630389245134
17,1390.97503431748,113.95102645093057
18,1390.9751980306237,113.93899211491922
19,1390.9751015076492,113.92387076512695
20,1390.9751541156218,113.93625101109382
21,1390.9749259606126,113.92789672930714
22,1390.9750778445714,113.90007745233723
23,1390.975090714597,113.9916767313709
24,1390.9751108088028,113.88243978352877
25,1390.975125553871,113.9241428516781
26,1390.9751267931924,113.91607295618823
27,1390.9750668883528,113.93734163700654
28,1390.97512421971,113.92143043208539
29,1390.975120004767,113.9135747093099
30,1390.9751020725887,113.9033371236779
31,1390.9751042975092,113.92754119562173
32,1390.975012126359,113.91214153854979
33,1390.9751424895865,113.90190551354087
34,1390.9750402125278,113.90554180763692
35,1390.975147990794,113.93203387381865
36,1390.975127246608,113.90513736274771
37,1390.9751302504376,113.88803459098888
38,1390.9750957785554,113.9362232569867
39,1390.975069885541,113.90945913292819
40,1390.9750588468196,113.92190147637757
41,1390.9750273230825,113.93749937998402
42,1390.9750837520878,113.90868476583361
43,1390.975134019416,113.93982777161418
44,1390.9751178375463,113.91779680449056
45,1390.97512010705,113.92630145450923
46,1390.9750664799124,113.93039351368391
47,1390.9751062769087,113.90044681373607
48,1390.9751673584578,113.87841479145789
49,1390.9750305332632,113.9288939947596
50,1390.9750797330576,113.93519370623811
