index,error,rmse
1,5553.974734088767,173.29949111002867
2,1694.5490904522528,62.905977325693925
3,1725.7888985404234,69.44385937715386
4,14866.520083543004,549.4036762128244
5,1636.0059377296805,57.00303564842065
6,4268.597399482014,267.62599805086427
7,1818.493914980919,53.43190657043207
8,9500.442443652357,147.84287256631296
9,1702.9127442639483,63.32122147328308
10,5412.689584877305,183.67469973903093
11,18826.48095877265,278.3705447865904
12,1846.406195051954,53.39286588001581
13,1766.4376112689613,45.38935892048105
14,3047.0461985420525,163.20050208093545
15,918.1905768378124,53.40334808801725
16,1694.3949461904183,61.9201250853873
17,1652.4232536149252,45.46556005198234
18,729.6597494314415,36.535202170883345
19,3613.888306598848,269.4278916415423
20,1714.6972601184077,55.418434533619426
21,2538.405649480958,112.02738340911695
22,10471.896062476568,395.43237331618735
23,920.4978966352106,49.239922259236906
24,1719.1485008412046,54.99305462807598
25,1708.9786985364326,52.72177004932197
26,1735.214979691374,40.53355101379104
27,1653.67105196162,44.73757020227197
28,13895.56639693766,256.16084494467026
29,13272.79711903488,216.27099240681915
30,764.8284345980813,34.10747454847501
31,7265.008478805067,151.33304738601768
32,1724.5506094411603,52.82291596623588
33,10720.02426009861,232.02818224717953
34,12270.55828915282,260.17016791569216
35,4468.2079361876185,260.6872604788733
36,3915.428183455876,200.0447228685037
37,12127.072686203528,400.8071594210643
38,1701.9409642138694,61.43703526132156
39,1710.387786698887,53.06091106396805
40,826.659530745604,57.016793419866524
41,2485.483528519451,106.17075670486075
42,914.149602579902,52.03538382844731
43,2740.2117710582784,141.11583837685055
44,1655.9948079408084,47.537293107035346
45,14618.1017131711,298.3712772815754
46,19467.448903831137,188.8655893131932
47,2867.595590415223,251.93478852153194
48,1695.108544805052,58.12130817372831
49,2199.5069506291925,153.0144774539644
50,3127.6647226353844,425.78716572565196
