index,error,rmse
1,2409.9297932726536,137.8678487107206
2,2409.929632657474,137.8615568000752
3,50396.59581116447,224.5946911300942
4,2409.9293585244923,137.81741854820714
5,2409.9299368366424,137.84619774937178
6,2409.9292564585435,137.8220772994439
7,2409.929731898304,137.82970802320816
8,2409.9278217344654,137.8329216542857
9,2409.92950834094,137.80547819105018
10,2409.8425283804418,137.80586540154192
11,2409.926270078383,137.81910045254625
12,2409.9291008741725,137.81653292355995
13,2409.9218741035056,137.810129193642
14,100155.39107123102,240.5919346211368
15,2409.92882478673,137.80698050964614
16,2409.9288293495792,137.83526189769395
17,33599.301064372165,198.48946811270466
18,2409.92977380023,137.86257928084925
19,2409.9287469251512,137.81716820541664
20,4124.951854092387,165.39768853959373
21,2409.9298688811327,137.80699402791444
22,33599.29844600543,198.31311766458924
23,4095.4435129748695,167.0132036002865
24,2409.9296004686357,137.82442152414478
25,33599.38805307701,198.33380895182603
26,33599.359152244164,198.3285739077719
27,2409.929445092666,137.83357652578349
28,2352.773714630355,143.1439817026093
29,2409.921840574818,137.81350018748654
30,50249.21087261014,226.2516994262458
31,2409.9299321787626,137.84655474988614
32,2409.928523906771,137.80033401392666
33,2409.9299268012765,137.8242148563223
34,4124.826608165951,165.36244809440234
35,2409.929674442767,137.80737742483092
36,33610.963682852394,197.8485863226844
37,2409.9253087566635,137.8274153136405
38,2409.9288027231632,137.86883408267695
39,50420.21252084372,227.15162213464103
40,2409.9297600241302,137.79251551639544
41,2409.9293489587003,137.81774016279675
42,2409.929678355506,137.8063925403579
43,2409.9298986597687,137.80604781123864
44,50082.906272370936,225.318583109247
45,2409.929307916291,137.83086866084614
46,2409.929763915026,137.84543721482927
47,33599.359414780905,198.3260367143477
48,2409.9286253239675,137.8513592327493
49,4095.1455760733857,166.9334630399437
50,2409.9298403288194,137.8551005154489
