index,error,rmse
1,2162.9960716873265,111.00008888814924
2,2163.893753976928,110.97389255429512
3,2202.407827949749,143.71806191243547
4,2202.4496637993298,143.67850744807836
5,2202.389323416648,143.72278446121658
6,2121.8929374013064,156.1891758338869
7,2162.9728632048414,111.01225479199873
8,2459.957082089581,128.05671814213773
9,2188.508269691471,119.47842290840637
10,2517.2490405482404,140.24862114217774
11,2121.4240152628145,156.30652700409246
12,2446.1176692417425,143.99821237086533
13,29890.92286021325,254.17282196853228
14,2202.43437959872,143.64532588696486
15,2517.234688427851,140.22878525402876
16,2110.623801217072,121.57878414437648
17,32693.82473905829,199.2471824341503
18,2447.687950000759,144.51253948978825
19,2162.9370200334693,111.02890624952806
20,2202.411749789113,143.72052265228723
21,3898.732195132612,168.10055067548606
22,28870.01115985495,251.22841899748155
23,2121.606861713375,156.2537954477483
24,2202.7291408668,143.518810341792
25,2202.5505810732298,143.9280736317601
26,32694.325909299063,199.00634465943443
27,25230.948521736987,219.30812963517442
28,2162.9705330296724,111.05191744276662
29,50501.79767864326,225.47494182345443
30,2202.3254821769788,143.9008077447954
31,25248.585728973783,218.38086015369876
32,2202.3974858744537,143.690091830314
33,2445.9103726270127,144.14240845925227
34,2202.391583609264,143.7171422112328
35,2202.367131819436,143.92456287978183
36,2188.5655972002724,119.49163224458745
37,31620.09952089257,1228.5722151871205
38,2202.400929760919,143.68411890314204
39,2202.3933710104197,143.7356062999036
40,2445.909191165758,144.15199427294132
41,2517.242967548372,140.24802742254658
42,2470.807636844389,129.36047829782387
43,28974.137345371637,215.71743310120974
44,87466.69710119338,237.1766721144812
45,2122.2735977463994,156.18817418679916
46,2110.558757161492,121.61465799212897
47,2517.242650252722,140.22687549471527
48,28276.24088012069,942.2447786929425
49,2467.4084374944714,126.34999597487668
50,4243.886389615487,164.0947679266337
