index,error,rmse
1,3638.157747421089,170.32718797457042
2,2334.5784346019072,144.96962830210717
3,2054.7375705522595,155.409683203366
4,16016.5289852746,209.49654132791574
5,2074.4819695713604,137.92213730725604
6,2074.518312772421,137.92340925149426
7,2074.6024936429258,137.93748236258176
8,2074.0354476534967,137.9690646632355
9,2032.3603382666624,117.77646923967059
10,2494.08726816411,155.74393538191322
11,2054.744498541598,155.45579359307914
12,2054.717661024144,155.46816002121585
13,2334.5829979212667,144.96909503284704
14,2074.369087012178,137.9422589400014
15,3638.7465928088654,170.2377704266065
16,2148.721147668745,127.13185049746014
17,2054.7221375608287,155.4723324194248
18,2074.194178565429,137.9565029532455
19,2054.726644152078,155.46631938376387
20,15991.231778137731,209.62964584198198
21,2074.7239796130502,137.92539864120513
22,2487.707423864312,154.72065581011032
23,2352.6945581906184,145.3385041999119
24,2054.7172665432604,155.4725556609483
25,2494.0509680918944,155.63937851895056
26,3892.0340979366783,170.7711399949855
27,3603.728355172151,160.7446063670545
28,2074.1992022527324,137.93747576277545
29,2147.059298089004,127.13403790283598
30,2150.731223633833,126.99616891327327
31,2231.4911434637484,141.31942907564127
32,2075.8418196443386,137.9030277573939
33,2056.2501570235645,155.66266116794841
34,2054.7596027331683,155.43976123963284
35,3706.573597620849,177.9181171361517
36,2230.618344463808,141.0383327758566
37,2492.3174407756264,155.0573155144626
38,2074.469241975713,137.93227544920316
39,2494.1190296541663,155.68064977315666
40,2230.911999961645,140.6876955790262
41,16030.65436991892,209.5043816780055
42,2150.0466905438266,127.04221501029758
43,2152.22284131721,126.8806989631474
44,2151.272621270029,126.93037100317373
45,3631.440259182325,171.33841087780448
46,2074.7571157892507,137.92432189031877
47,2150.710339640984,126.97322271987147
48,2494.2115095779477,155.7248890912726
49,2054.721065944238,155.4567208176373
50,2486.9139085910388,154.65902981128508
