index,error,rmse
1,2135.3275015206023,123.40204279764464
2,2135.327189804005,123.3648162473659
3,12312.460182821553,176.98625175918392
4,2519.457336774504,126.21237038544311
5,2135.327240108704,123.34161379667418
6,2688.5728363438498,126.11715734963526
7,2135.6133590563404,123.41210397717275
8,2135.6133471275025,123.37208060420876
9,12334.251879323125,179.96428779813442
10,2135.6134324813097,123.39247776939892
11,12500.2413054949,184.79372775540511
12,12314.586702207638,176.00964346429754
13,4875.176666355634,136.61070859245154
14,12666.209846423031,186.68560238882208
15,2135.612965268901,123.41402210779685
16,11464.87998188585,181.36538010060434
17,11464.864819761282,181.3716753503026
18,2135.612890751427,123.39851934277647
19,11464.885156367098,181.3611575538388
20,12665.52238443262,186.69428745947346
21,2763.716978133951,126.13265485539534
22,2135.612854057446,123.40977148615929
23,2135.6126885441795,123.37692277974838
24,2135.612910078996,123.36338221780004
25,12400.869747856312,182.70855288819735
26,2135.6128149068777,123.41279847748599
27,2625.937996595528,126.18814101902652
28,2135.6095839641507,123.3596253217749
29,2135.612829233715,123.38402161571972
30,2135.6127099527785,123.3855843192959
31,2135.613175029197,123.37123515985063
32,2135.6129768883397,123.42717241871995
33,2135.6130130870038,123.36862739535995
34,12582.82360528449,185.8241559243094
35,2135.612995380943,123.3733173919705
36,11464.885182305765,181.36950411110087
37,12322.102035193751,178.7511751839387
38,2712.6645772675283,126.11590259936612
39,2135.613285317762,123.39167679679504
40,2135.6135356885497,123.37623174945747
41,2771.417976644885,126.18988982424875
42,2135.612820499851,123.39606473661856
43,2135.613132588398,123.42600141572207
44,2135.6125655105084,123.4305310961327
45,2135.6132056588017,123.38674300323115
46,4528.945800615925,135.6216561065684
47,2135.613707752732,123.34810311441082
48,12512.741437552184,184.94291969431362
49,2135.612578212358,123.41323363217093
50,12645.90851651584,186.46650196763187
