index,error,rmse
1,2707.5064839618,123.42848216775631
2,2707.505870552052,123.46310517098401
3,17059.118685341797,186.03028747689848
4,2946.9178441529903,123.0612075483302
5,2707.505933407447,123.44627175690052
6,6120.478523173015,135.09845580160393
7,2707.505481170133,123.47092513719876
8,16840.19594641366,183.98196981088316
9,2982.9686327249246,122.88800506004674
10,2707.506234976004,123.44403306952496
11,3008.8553687515687,122.80943055156855
12,3001.113617514221,122.81235041622207
13,17058.541645604608,185.92680281552984
14,17043.3663165103,185.8795979779477
15,2996.9625442915294,122.80614647573128
16,15249.127802385668,180.1881390874291
17,107006.41188318822,221.95589308489997
18,2707.505934101688,123.45126214774832
19,2707.5057768961883,123.4585421336432
20,2707.505407865014,123.48301020632911
21,2707.5054350556697,123.48655950028169
22,17051.445769794085,185.86963098725943
23,2707.505651817792,123.4733284122758
24,2707.505716650165,123.4572583254803
25,2707.505934209681,123.4576176520411
26,2707.5056002174047,123.427791446727
27,3016.2062204996696,122.78142200273625
28,2707.506461733494,123.42884262512916
29,2848.7279458060198,123.51273425296817
30,15249.132866017577,180.1716890810376
31,2707.505256078856,123.41283447354155
32,6422.839323600375,135.82188149581253
33,2986.812765839348,122.76571998168478
34,3002.0978174305264,122.84042711388935
35,2707.5060205912096,123.44814092370987
36,15249.132089541536,180.16676531873642
37,16987.201802891497,185.3841727460478
38,2707.5052459657973,123.43585531789962
39,15249.12753834494,180.15864822205776
40,2707.5052115910853,123.476918754027
41,15249.138508127731,180.1505049414135
42,2986.9975868358656,122.80629057469207
43,15249.130706174086,180.17613832448725
44,17050.6664956832,185.81802717273482
45,2707.504930099526,123.46239296026253
46,17054.08309462649,185.90314244909968
47,15249.13870547382,180.16571730157997
48,15249.141182422522,180.15791101526972
49,2707.50630454908,123.43365043553838
50,2707.505563702042,123.46430665793517
