error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
2162.9960716873265,689.1870105119888,2647,27164,0.001165986792610769,0.011893939839910377,1.0037163135586123e-07,0.04263080595032144,0.00048681448761456333,0.06787781254912412,0.0007065586302375285,0.029811555877085515,0.201494487016428,0.015937772948763283,0.010620932533314439,0.02557262817452827,481.58299348285095,471.2427790984183,170.6762412044669
2163.8937539769277,841.9491023980081,3189,33516,0.0011609503685674175,0.012140809024087465,7.706966838541235e-06,0.0064446238074168305,0.000390967631610863,0.06790909218260281,0.0007062192745907561,0.02981281193720158,0.20129603665622753,0.01593206078525935,0.010614951483386969,0.025580189821682406,357.4200493489381,208.1315420644284,170.63583030692203
2202.407827949749,565.4345864090137,2114,22106,0.009547426145631309,7.722209592470773e-05,0.001449396195300408,0.11203030945284427,0.0008092855043521795,0.0745617965838764,0.0005012350959757162,0.032150939422774846,0.216423537072711,0.019253878124333133,0.013890517648152547,0.02373024676514252,425.0582031761511,396.2388674382353,131.8410913923329
2202.4496637993298,689.7749118200154,2591,26118,0.00941778381465062,0.00043152204714371145,0.0019931101494687427,0.10937725712808462,0.0006732485171438808,0.07439227514926994,0.0005012885064529204,0.03214897459282244,0.2164734570921369,0.01925533790008729,0.013894697304255986,0.023728446445516787,419.0532442633087,250.1352018372505,131.83520271099982
2202.389323416648,604.6473650639819,2237,23312,0.009582329371080838,1.1842406732109531e-05,0.001245273697286421,0.11329978281790697,0.0009215433286537583,0.07459610906316105,0.0005011392444225738,0.03215112821324816,0.21647429131268772,0.019254317504879832,0.013896109264322316,0.023730078598140945,444.48854837178624,535.503992417486,131.81906247018264
2121.8929374013064,638.1921461080201,2446,24687,0.0012063243259208215,0.0992106665650922,0.02188806472466628,1.0964415241751865e-07,0.011051773141565052,0.0001722260371739951,0.0009388800042402734,0.030526005202057994,0.24953695246010757,0.020159858266067587,0.012963930131936722,0.021739921346507877,507.27313537920696,612.9713182390338,164.46277476969883
2162.9728632048414,771.0723435429973,2901,31637,0.0011659001748314966,0.011915009967915688,1.0007743321587434e-07,0.043211348291544376,0.00042105504824968716,0.06789833832947362,0.0007061936306287293,0.029815275984599945,0.20147945416184673,0.01593811896826214,0.01062126343088239,0.025572807817373044,594.0260498170227,422.8175066549448,170.6306474661426
2459.957082089581,602.4929027880135,2286,24177,1.0000824882799988e-07,0.21207364449101088,0.0002659660404349421,1.209165249722635e-07,0.0007038715310808932,0.06319080160046793,0.0006777353089619002,0.030292215772359403,0.17303368275897585,0.015354451291754513,0.009776048215489023,0.026096912909956884,34.18945603669743,37.724683005424524,453.9385250634997
2188.508269691471,694.3084205100022,2607,28076,1.0000847169055165e-07,0.2546258461497221,1.311808400138625e-07,0.04038849348409404,0.0005515606191640793,0.06883281924031646,0.0006356021349764532,0.030547477769695436,0.18890171033952066,0.016315456003759825,0.01069259670893514,0.02564355276950646,127.56561791360363,138.4823007499166,160.9300759387316
2517.2490405482404,521.601772909984,2068,19613,0.0025429353019075416,0.07413395861153028,262.4430656424925,1.4452355683803614e-05,52.41482521814266,1.8769934916113655e-05,0.0006402265818504217,0.03223742501335413,0.2614221347913219,0.020826559377398145,0.01703405030490253,0.02189931284457141,276.21819960828327,376.68168108454324,132.43252956870882
2121.4240152628145,918.214847285999,3752,35200,0.001190389377251361,0.09795390620855439,0.25912308251470295,1.271412488892199e-07,0.005271434196629027,0.0007551105182044605,0.0009401838002013896,0.030365321932785724,0.249256199011497,0.02020433441644009,0.013060432209481188,0.021753593811262566,31.374265689589524,1.4864359037783401,163.0089556815936
2446.1176692417425,1181.2750902719563,4521,46798,11.199721991228511,0.07403989974506012,68.2110522760271,0.008453618546020848,0.32793851203285157,0.025218744904073064,0.0004980242770101461,0.03222539554979674,0.2581356981737675,0.020544002376523263,0.01665091799308974,0.02214328355820899,1.8372541058054486,257.24250066530584,132.87818798220192
29890.92286021325,440.67750883603003,1778,18110,0.0005680534491982152,1.7530396549235312e-07,1.000062369323453e-07,0.12554837514779987,5.973836737535192e-07,0.24490195216801447,0.0030492624853637996,0.017525944666124116,1.0009299274016588e-07,0.3782374323313831,9.134151127686041e-05,0.06402972150997668,310.1058830337437,283.1178301036622,300.50094567988407
2202.43437959872,627.6278958669864,2383,25256,0.009518444666355368,0.00016716217020468257,0.0018111867197353167,0.11017897857566135,0.000713403821607469,0.07444383626019115,0.0005012220501767631,0.03214956078481461,0.2164066424157523,0.019252829699016438,0.013891319641149109,0.02373324637265331,546.7092563305767,380.4661803375909,131.8238444586711
2517.234688427851,498.38838281994686,1936,19114,0.00657260623621961,0.07413394287040792,519.1801562482119,2.5650830783110478e-05,62.27539637400347,5.603816591322905e-06,0.0006560974582739844,0.0322406123426589,0.2613775888485346,0.020825439388937127,0.01703095543667457,0.02189991967289199,116.20333539587006,240.11411525422696,132.43845365362867
2110.623801217072,1238.0732710110024,4709,49726,1.0002709179735072e-07,0.2518024758025634,3.977569732798255e-06,0.018338109214847784,2.961807892943775,0.09698020905543829,0.0006750433124611328,0.03011295447132515,0.1890163463751267,0.01561566829895082,0.010222646857948969,0.026018593799531708,0.005045684826953784,45.95721529517056,170.95190470594508
32693.824739058295,629.905694487039,2659,22937,75.50842717473914,0.039099066555910465,0.009520855886870063,0.07544285076577135,1.5955295830859663e-07,0.2796626297884118,0.0034060859912018807,0.02830725677963326,5.283954762027661e-06,0.3176430532892044,7.201407375380297e-05,0.05397348336414109,717.0958082347825,340.57420138274523,499.99984122733963
2447.687950000759,627.0630325159873,2492,24518,0.007836813474521191,2.673566156270399e-06,34.69802371336283,0.0008490211436068605,1.3189948085743721,0.09877646116559481,0.000499849512500077,0.03219518987675269,0.25862964268469707,0.02054552071350027,0.016664026509249228,0.022134193275520284,539.2926682735578,488.63655821347874,132.86281523776034
2162.9370200334693,907.3597333150101,3634,35169,0.0011661605447132156,0.011886976494722768,1.0069369863410479e-07,0.04260595578692127,0.0003702846176933172,0.06787704948764042,0.0007064050699411135,0.02981324491259855,0.2014965352436677,0.015937563273958053,0.010621816621157637,0.025572173520438626,686.1190546182502,346.98484386082646,170.6672457834701
2202.411749789113,1085.3243017179775,4355,41440,0.009486106544239769,0.00026190467748539805,0.0014751221057531716,0.11188516242395156,0.0007886161927486459,0.07453393542727131,0.0005012728809022518,0.03215018917297421,0.2164567184902436,0.01925112775476689,0.013892758183549602,0.023730763701583377,282.51573005757757,249.28814508050334,131.8427668632732
3898.7321951326117,426.1081621219637,1630,16773,0.0007993605854401825,0.05792422553534246,0.002588730989610388,0.10720255019314831,0.005935365094999982,0.024437881729491136,0.0013501962766525569,0.03322338054777883,0.49610898549882193,0.025239809463645044,0.010817079582166931,0.012392029983464243,59.29903268965665,50.8958940842926,373.0859678472921
28870.01115985495,496.9862267500139,2055,20173,0.0005260716508287319,1.1209316663383693e-07,1.0000726150107199e-07,0.12533951442617894,5.953652106928235e-07,0.24605771710912536,0.0032288181427463807,0.017442484235349713,1.0462224772104182e-07,0.3781930073757646,8.993095865207526e-05,0.06371595783412161,376.5886588352306,391.145069214819,331.23539609297245
2121.606861713375,698.6133612590493,2706,28113,0.0011976582643299539,0.09884321971945209,0.017920017632053413,1.0698590840534987e-07,0.014817681706342997,0.0003576356319960917,0.0009394603489328248,0.03047417676185638,0.24950409082935038,0.020178851243342996,0.012995951944735963,0.0217389862884556,286.1511440854544,559.771051885139,164.01200428710695
2202.7291408667998,714.4514262839803,2687,28572,0.008576288383060876,0.002770055467799587,0.008953211790031985,0.09686230676957135,0.000494508841664705,0.0732830044792557,0.0005015722115749941,0.03214438188974777,0.21625077286110594,0.019241350800346675,0.013878353511435647,0.02374106965210164,127.67483866296782,15.71097201882335,131.85074061683508
2202.5505810732298,871.568801921967,3162,34971,0.009609532689272907,3.5515802894119765e-06,0.0004933875256929093,0.1210160575703838,0.6976355530419261,0.07571081060326602,0.0005014273816400964,0.032147717798282655,0.2164577449828379,0.019253786581558838,0.013891969653515641,0.023729888050320863,0.33043368527978006,563.4504444643877,131.84478114382912
32694.325909299063,646.9793520749663,2624,24583,63.83767757804246,0.030509960283049052,303.24767116687053,0.004748034188603965,5.825491113164393e-07,0.2642952006820574,0.0034046345018513787,0.028309644268062612,5.289681472582549e-06,0.3176250991851917,7.198517063331365e-05,0.053977139162066305,326.4482300656543,289.0382399701234,499.99999450416874
25230.948521736987,528.4587250549812,2131,22525,0.00038791578605152933,1.126026767463566e-07,1.0000673468848352e-07,0.1276383609228833,4.83520598457847e-07,0.25068337470955365,0.004094204799660553,0.017216743441405752,8.233883556265823e-07,0.33293298955314066,8.772654961225055e-05,0.06172587111193796,133.89312036694028,140.20797882400512,499.999703360949
2162.9705330296724,663.5386621329817,2524,26930,0.00116636591530341,0.011883675490564807,1.0002130367368617e-07,0.04265199307834043,0.0004327678045545831,0.06789403266588491,0.0007062053699738598,0.02981550860655975,0.2015985327453882,0.015944745206287664,0.010628491000759724,0.0255661776914867,174.19858897837014,132.2515948430002,170.62761103248013
50501.79767864326,390.5028709739563,1546,16189,0.26336114618680284,0.031142702957746696,2.2790347230686018e-05,0.05248566336481078,5.793105054819459e-06,0.11661729819337976,0.0006052749226968089,0.024197670009365933,1.000244113287496e-07,0.32225293811410943,3.9378360682470756e-05,0.14208371691150565,113.50394447917532,114.16148756629386,293.4841104478364
2202.3254821769788,1053.9844074469875,4100,42387,0.009589679837292961,3.502717081480672e-06,0.0006345239342797855,0.11891857927199143,0.004056463058994259,0.07483090045702115,0.0005012824378145569,0.032149492457301955,0.21650346105725232,0.019256146684652094,0.013896980585581802,0.02372723642279534,32.83663441393191,288.79331946538906,131.82967487347113
25248.585728973783,581.0630334020243,2393,23310,0.0003891031959013791,1.7125644137666885e-07,1.0000838181666853e-07,0.12548878403002806,6.000558333624872e-07,0.25070328469849407,0.004089772107721734,0.017254744458552386,9.31519145433061e-07,0.32969897297457834,8.773090109439971e-05,0.061710386609398496,301.98792950841244,467.2401730867174,499.999562195834
2202.3974858744537,543.7962830400211,2079,20994,0.009579609634024246,8.376124878958852e-06,0.0013354876733256977,0.1127101535002144,0.0008574239800845855,0.07460937831748071,0.0005011574014750878,0.03215077497436653,0.2163985674580295,0.019252175311879303,0.013890570097793641,0.023732563656326512,293.31854956186527,308.67599959983943,131.82447556507614
2445.9103726270127,611.3024915429996,2282,24226,4.704883583806057,0.07674667941577101,120.49570799996687,0.008960566377386845,0.004475657617057651,0.01947467703360275,0.0004978833379216159,0.03222722208863614,0.25809404819978443,0.02054776573798204,0.016646528780300082,0.022144810455540995,112.82114264160668,54.048094501088904,132.88143615800237
2202.391583609264,464.3355234750197,1695,18339,0.00957863688495486,1.549583308217084e-05,0.0012571621669718869,0.11321339522444021,0.0008984368471385641,0.07462745727986357,0.0005013101854075648,0.032149166343786686,0.21640624120089924,0.019252953928622776,0.01388911308274737,0.02373201733830362,310.70616210197375,357.9787692581737,131.84147516634613
2202.3671318194356,979.102747950994,3610,38654,0.009598123029710137,2.5446257526490324e-07,0.0005405085620542815,0.12025575540899716,0.030748918159155675,0.07511469254995665,0.0005012975401445923,0.03214935616448963,0.2164481578554467,0.01925460865341828,0.013892400928316688,0.023729495653619096,1.1424460495862252,84.11699678601812,131.83274593720117
2188.5655972002724,675.7657039919868,2673,26219,1.0003208534274629e-07,0.2545907316291734,1.0014036897030709e-07,0.04264052197065654,0.0006406711459548863,0.0688217667840334,0.0006357105001699493,0.03054711764608699,0.18895349838929973,0.016316983592535552,0.010695261704377014,0.025638801896868586,121.66622824282311,172.88267284398412,160.9880190474673
31620.09952089257,477.1723140529939,1862,19400,5.232239848582499e-07,0.24977898030256196,0.04905250814643385,0.08268812157189231,0.0050977637277699155,0.02477151256414853,0.0027818424226442626,0.030018997038434976,1.1800032093377801e-05,0.28059408000625113,5.7642785234898075e-05,0.05622520376362444,487.26947587560556,500.7837714238098,499.99977949615135
2202.400929760919,585.418070330983,2256,23170,0.009577435508858475,2.6468439277169054e-06,0.0013822636035948366,0.11243115680364493,0.0008374948135499173,0.07459330184237835,0.000501233407787208,0.03214982962983997,0.21640541748158743,0.019252302386305493,0.013890719076736691,0.023731867444764812,245.10943451409636,245.69346977988087,131.83178082039714
2202.3933710104193,546.3670991510153,2077,21411,0.00955554393362651,8.685126397903892e-05,0.0012759052482465112,0.11309022185503331,0.0008862725793953433,0.0746031708272685,0.0005012075756285829,0.03214899718762699,0.2164000506907563,0.01925300489601276,0.013892801370226129,0.023731447420396724,326.1171048743466,365.72010123428214,131.81288035362135
2445.909191165758,512.8095238049864,1922,20023,12.589428242814458,0.07278515122138488,216.57919348283716,0.012743191754701209,0.005729825891641701,0.0197000741923657,0.000497801530660784,0.03222813345589519,0.2581733627597868,0.020548031605134787,0.016652747958713555,0.022143427479843394,220.504373243847,201.0123363392157,132.8731554668616
2517.242967548372,615.2844222710119,2413,23268,0.00028971587969373535,0.07414647820869581,0.0018290229877299456,0.032244564878801424,747.5636250530829,1.0526435273110909e-07,422.9836813386569,1.0906759883322021e-07,0.5625375553301316,0.020834151853044058,0.0170495918131606,0.021892521237247768,400.20398137677483,414.0548137069805,284.7348644767977
2470.807636844389,462.64777840604074,1785,18914,1.000004049995522e-07,0.20965238386915605,0.0002924259153811697,2.182645840693575e-07,0.0006726665064978671,0.06332903462663309,0.0006709477597938043,0.030355599925094887,0.17238209181896672,0.015399838225026169,0.009814084135999775,0.02608690233254063,236.08753378588324,231.63416442940206,488.28622071660664
28974.137345371633,505.2611555029871,2011,21562,0.0005236777477407814,0.0014282777763179161,2.0666436187474968e-07,0.03704077047157256,3.751261132619878e-07,0.26249137857993443,0.003935741463975065,0.024153709284860072,4.63679338565192e-06,0.3083157888404972,7.980146221709875e-05,0.05766203401278365,88.40376783768832,123.26871648702081,499.99978005167213
87466.69710119338,552.551925103995,2362,21888,0.00012120561882919388,0.08772111696590691,0.015975528652415846,4.1860087607036134e-07,0.0010072468459787235,1.2008211927969543e-07,3.839575667058853e-06,0.06405693134886357,1.0002332552813238e-07,0.3133642510571278,1.0000961071827352e-07,0.04264929545291472,101.19992996737354,109.15442383911362,330.4705775448423
2122.2735977463994,714.2311694220407,2895,27537,0.001213108441903563,0.09963314501857072,0.016006521530773605,1.1300254564699415e-07,0.02031457011206939,1.9989535385024486e-06,0.0009388651203364515,0.030572036901080877,0.24957930037502304,0.020146143739032635,0.012933916010583982,0.021737098252312747,31.541295644085423,96.72362353424447,164.88929919377372
2110.558757161492,1095.4849957900005,4168,44270,1.0013046164317415e-07,0.25157835664783734,1.0809547543215315e-05,0.0049415883279592,2.880724169619676,0.09714224126100869,0.0006739332241269102,0.030126121710198434,0.1888323528823786,0.01561515183090313,0.010222074675407592,0.026019058146248532,0.005054622117680377,44.70709477995751,171.4112828771747
2517.242650252722,499.7605154220364,1981,18772,379.2701684469206,0.0011605615651876222,2.671542797316309e-07,0.15259861931481777,0.0005504069615010802,0.07415417158539156,0.0004980027447267409,0.032242856367150984,0.26135214844142307,0.020825214676463553,0.01702983923953325,0.021900649978584933,411.27063557419837,370.25770559230625,132.42994986704556
28276.24088012069,704.738678299007,2800,27175,2.592835400966946e-07,0.2675484610485383,0.04047341082438027,1.1097346101551427e-07,0.055291129839235065,1.0407946847510401e-07,0.00700179624177704,0.026637446472624327,3.32324226173823e-06,0.3185522387765686,6.44026769762214e-05,0.05972353031917224,311.4372658894121,412.2499415134197,499.99999245846726
2467.4084374944714,531.3027008950012,2126,20700,0.00034843420979570577,1.3378476716447353e-07,0.000834961077942574,1.9038408522662095e-07,0.0004038450476478577,0.061351781156027824,0.0012095680769240035,0.026378054483049827,0.22558414046736253,0.013051370255400811,0.008881733029729118,0.026082663333255464,170.98688215607677,180.02293266051277,482.90534376220563
4243.886389615487,426.965981448011,1706,16065,0.00037989225825214173,0.06352377919303627,1.1083316816604199e-07,0.18711091907227514,0.007276725435839454,0.1971711539746873,0.0014059987234694305,0.03286588799485308,0.685938620692372,0.026817466198163265,0.014935642249273495,0.009967338461024836,73.13815662503094,69.13382111967981,377.0126028495406
