error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21
1335.2958483832083,900.4103926659955,4980,47560,0.00015432906098932625,0.07502659867382139,2.1858856213819764,0.051040835417824865,1.319811588740564e-07,0.3791323165666804,16.647134270494934,0.008346115311208798,7.0928781764762245,0.06950347607115775,2.8866186065117538e-05,0.14465238911944078,1.0002599160847213e-07,0.08534858109943283,0.00011339283987209947,0.04593092510080222,0.08169592606999175,0.006687292721872705,0.004800019475603613,0.03291091975957574,99.65663678016904
14583.579827597356,1039.7881501640004,5725,53382,4.134917510210062e-05,0.10480662699033139,1.0030533927130663e-07,0.1616500113415823,993.557530077364,5.632251809376748e-07,0.007018209733829237,0.09841607849169207,937.7990654315491,0.0004979208834634461,4.226426779550575e-07,0.16058048288048818,1.0000169270147908e-07,0.30442441447166696,0.001364712115889138,0.023211020371672865,2.9024776876995177e-05,0.28925192723048965,0.0004901617443941617,0.05193933001041958,123.07406942972823
1324.2944781521871,816.522943187003,4189,46223,0.00011213039674833972,0.07729009236558024,24.906302658812645,0.030756382411839325,2.7693130943865652e-05,0.28997826428642914,1.0100338451298978e-07,0.13585309309795676,3.601231167948256e-05,0.008017292211699327,0.12425111402807638,0.002506491089282657,3.2413887461055484e-06,0.03349893510086811,0.00012016123560858751,0.04544855532487394,0.0810799963574794,0.006232240163588136,0.004708690616282092,0.033083718620772355,123.56940249178936
663.5683189308852,1002.981025345005,5568,52590,0.0001846019115494053,0.07389578791311656,0.5029680768160257,0.06151702530925983,1.0047050455394032e-07,0.3811290178037136,0.0979832224937178,0.07346237268667025,1.563187469705852e-07,0.11516992936381305,0.0070099467625689554,1.2334241788382716e-07,0.0027990531128599563,1.1057886054979591e-07,0.00028871182998109853,0.04114787255058069,0.09289245437566494,0.008589174760092287,0.004239597189428084,0.03123429445781871,115.23105725516743
10982.004226770485,900.0138248750009,4886,48976,1.6190448168635052e-07,0.3757324846562374,6.047028041644381e-05,6.167765366232105e-07,0.003007259936036637,0.017453992848392424,0.0014437261599830012,0.11206827936486052,0.00021201631957420034,0.10862701144813915,0.0012773510356855588,0.11307397241452895,0.030817835207821456,0.020461177828178977,0.0020078201280132,0.020611110228437455,0.0008751759134041242,0.20272388608275038,0.00010799121634891558,0.06498680085411815,122.14270164008988
1369.9358096542364,1263.1076766240003,6913,71035,0.00010856454071958749,0.08990862694690784,1.75866145804804e-06,0.16798500771957825,0.8852213039223081,0.1163558389812982,0.38989349801065115,0.06391685543388514,0.000262813265774914,1.9134777030937183e-05,1.2154368988963251e-07,0.18867357980717162,0.0013168847926035147,0.05560675893284804,0.0001072588365181542,0.04649623931691475,0.08400837073018778,0.006384892947938283,0.004938863801355398,0.03251716161180578,80.32936309336127
5151.208832309514,963.323763649998,5106,50957,0.923669845802568,0.04946364439218704,0.0001239989720394044,0.05754969859311197,1.2083969795379272e-06,0.08738935102602131,0.00039278778997152284,1.1291535232779406e-07,0.0005311777757377415,0.04475712071119058,1.0000578410508119e-07,0.19188148036359284,16.54944054774317,0.06835636480201149,0.009756791044512651,0.00930421352377485,0.28261045209244123,0.01755655540312424,0.01398496030824023,0.02284513766655234,163.76119706852236
10173.869411012292,935.7446825709994,5102,48941,3.698310221067699e-05,0.26346717646741646,1.211454087842486e-06,0.17109531802822595,3.4952159713188706e-05,0.06790182829131172,0.00027723407625411794,0.001798246030604733,0.004710122234471703,0.04218692219990343,0.0014271551201871088,0.1121652243863129,5.3371931774922325e-06,0.20861336962000232,0.00833136136975277,0.024992535086559183,0.00027962978338540563,0.2514964904259097,0.00012633427630070663,0.04524019780707539,499.9999936843628
1713.9921607012855,950.2617991599982,5280,49717,2.2827035088090857e-05,0.06592386366845324,1.1464183277435907e-07,0.04402160268394823,1.0000347889714177e-07,0.2828276750833998,0.0024122222758626876,0.1077904259023589,2.49661686279051,0.08400088738985613,0.006916457285605454,1.385825733283447e-07,0.001369032682571498,1.1206481221061238e-07,0.0002006842346619218,0.04272061688104539,0.1472612947997547,0.013510890404828209,0.009256633962491679,0.02542630792272123,364.96558829362743
14659.626418026233,897.0342344849996,5198,44830,1.472031336659398e-05,0.08336241627091003,0.0007137013622289059,2.758971326819746e-07,3.596307653970582e-07,0.32361488570264196,208.87521423012387,8.403750315567072e-06,6.072500476721746,0.0815897986410876,0.008769875744705807,0.023995124663839587,8.581232156382852,1.1464483234701184e-07,1.4520062336149497,1.127318333128942e-07,4.663569820034594e-05,0.2813477233552286,0.0005337529892905707,0.05093901990494829,392.9241168557765
