error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9
1291.4118899544148,403.2255430160003,1282,10682,0.0003861086528003354,0.07522119681887783,7.868156670638065e-05,0.04785866148473157,0.09862409570389558,0.013364574978408135,0.0062022436452186976,0.029740348342172502,146.368306037057
59585.2319280635,317.97376142600115,990,9385,2.479959078881961e-06,0.13971187270943555,0.0003094613056741342,0.03405674697259974,1.0001874977766485e-07,0.3273947400561535,7.438896547120277e-05,0.06664153329383883,272.9405202130841
1291.4117784828595,436.1547501679961,1298,11860,0.0003861037029331867,0.07523034885918735,7.867735572130916e-05,0.047858737345382395,0.09863741625441133,0.013366212058351474,0.006203568368447055,0.029737878278505794,146.3583598765547
1291.411822137662,344.7241638600026,1033,9065,0.00038610817605716095,0.07523001567492249,7.868106100972567e-05,0.047857709874652946,0.09864143864335816,0.01336349941088486,0.006204054070997974,0.02974125639282102,146.35198318245978
1291.4117298613278,338.99188548700477,939,8797,0.0003860966646981786,0.07522789016384263,7.868326265027943e-05,0.04785735117713263,0.09861841160669681,0.013362712000943681,0.006203103053883353,0.029742242592924018,146.34525559967105
57412.76113118746,338.42441274700104,1092,9932,1.1424755130151027e-06,0.22165513948962165,0.00029873771936378624,0.03471683745956963,1.0001248024867941e-07,0.3580822081871785,8.133742482880543e-05,0.06618124177019091,122.85872120707734
1291.411566643802,409.7597702310013,1212,11268,0.00038611934236514755,0.07522823698165627,7.868982004182986e-05,0.04785701504966113,0.09864775859811815,0.013366676146317084,0.006204270902445935,0.029738897664939392,146.35962855582437
1291.4118202464144,441.57276520800224,1400,12383,0.00038613132718209024,0.07522536169093302,7.868195349477738e-05,0.04785779990570491,0.09862699805062494,0.013363125066598461,0.006202952100084858,0.029741455453524707,146.35722434945276
1291.4118037069745,422.01357850099885,1244,11316,0.0003861269021762008,0.07523009103624417,7.868284626356011e-05,0.047857848369963395,0.09863522630799888,0.013365053039294162,0.006203560639501166,0.0297395781312871,146.35554440887876
57412.675650224875,323.04299176199856,1058,9694,1.1609982640923258e-06,0.22085781232588003,0.0002987487232206144,0.03471497624730274,1.000056143289095e-07,0.357860482249959,8.142426553580522e-05,0.06618239507702316,122.7674554257397
1291.4110275765177,410.24130395600514,1230,11498,0.000386099646557774,0.07522661516543647,7.868633764157243e-05,0.04785773490992715,0.0986307229046362,0.013364924863687849,0.006202885255993941,0.02973977304053663,146.36435311970627
1291.4117095317388,705.2385451419977,2293,19672,0.000386134623657267,0.07522627912677064,7.868799727486551e-05,0.047857019435419784,0.09862074977471676,0.013364445241338832,0.006202607581807734,0.02974040418205565,146.35741663956102
1291.4117916567877,333.51750120900397,1057,9289,0.000386105195726657,0.07522696243208697,7.869018912946307e-05,0.04785712528066148,0.09863068969281195,0.013366888548616685,0.006202952004648342,0.029738840469023073,146.36218079025969
1291.4118888907074,412.2414875089962,1243,11214,0.00038611406214456115,0.07522374873816699,7.869402769349187e-05,0.047856269937402274,0.09862221289891426,0.013363603219765074,0.006203118467452977,0.02974188624624291,146.34936655435777
