error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
930.6169349189001,565.570549326003,4265,40479,1.0000530211397592e-07,0.2953717112471644,0.008963574589593922,0.05976923470203699,0.022178932374837305,1.3139406534767353e-07,0.005480826811129652,1.2026976419000936e-07,0.001752732402538982,1.4664547070193418e-07,0.0003963177034277511,0.0378074445733957,0.1261135088234097,0.014197718916219399,0.005504448659559973,0.029812511246619728,226.39628157273495
2012.0833238947869,620.7831931069959,4500,47237,0.0025408653156796515,0.010640427613613836,0.00022368518355933976,0.1276080275473285,0.019943485464774504,0.18028499257967004,1.6904128866879732e-06,0.16831713007212454,0.002653158491978606,1.100474076302499e-07,0.00013071374440750354,0.04396684188162126,0.11280870657810034,0.013016966110509332,0.005815432888896171,0.031951859388706344,160.9455408299712
16242.612779704175,326.3749164740002,2459,25036,1.5886278413132983e-07,0.19085910460286395,1.0222759080364811e-07,0.16283695013840913,983.1871317934402,4.9117005607875266e-05,1.0006114381843309e-07,0.1637050791596018,1.0005590107628218e-07,0.28545622851886043,0.001293352688030323,0.02416163599428831,6.147751834897024e-06,0.24101277714804473,0.000517177081645664,0.051609227547916185,488.95369893309424
2037.1146338009698,600.5134791710007,4549,41465,0.0018899863467009119,0.04276791604152998,0.00021058690051158874,0.07750484346229308,0.0020023921208318267,4.971133887226672e-07,2.1198253601975504e-07,0.18560459510193897,1.2722557170440352,0.07256757258712297,0.00017680554493393764,0.04157397222484266,0.13020629407256268,0.013282947530809148,0.0067632358594566,0.03049457060661225,161.4304162215317
1053.7765704256128,557.1586327120021,3811,37657,1.1202062830907055e-07,0.2869064692319754,1.1360137532362662e-07,0.04158835337255545,0.00022000953198685598,0.11665851192095367,0.003430138595049447,0.0021039682832152554,0.0011632693993229434,1.010306599059496e-07,0.00042876735232301444,0.036620638506090056,0.12149869795531723,0.014465326037415032,0.005319075439130989,0.030610184374553567,260.32679325044825
2813.0062261965345,849.0559448790009,3867,34815,52.992961588813,0.037443214720693334,111.24288591402646,0.017663448136398252,0.003209130515770922,4.379301675845424e-06,175.6175082371908,0.005129414599489471,208.64615197025725,0.01662582589701504,0.00012515749798401544,0.04525582411218945,0.17728435991385255,0.018144219434261515,0.010574301900122438,0.026371173069802533,157.64165516994834
12464.726461826478,406.6964852500096,3135,29992,6.470141421323034e-05,0.07541174019550421,0.00028519877469223713,5.547637041174604e-07,0.009277144783857504,0.018083724410736246,0.35927725517491327,0.06609299162063896,1.0000402575124644e-07,0.27924335234734593,0.0020824833658615724,0.020096076243844543,8.705333013100692e-07,0.28957920842832147,0.00029590718947000656,0.05511944142804213,234.28029872729493
2699.9217503543077,505.63300430899835,3903,37356,4.227697735995182e-07,0.2578627724444636,2.052018909858862e-07,0.03669130134041791,0.0005087522498732469,0.035210062590961745,8.543438512297313e-06,0.1548055411101999,0.6754633770624784,0.10986717976787427,9.167203980380497e-05,0.04714509441425017,0.1687088399579198,0.017700671087461914,0.009900118057949974,0.026956349250420182,158.11317588346765
12155.212293506582,541.6869056610012,4113,37647,0.0019191460449973954,1.3060422618614454e-07,1.6184700861680778e-06,0.16846755855096018,1.0096635128307913e-07,0.31120841485279044,3.7681862258532415,0.046496738454161496,0.008918600943059532,0.04337824606898748,0.0021104300953592534,0.01999850850291368,1.0002931375265346e-07,0.3432622908185589,0.0002939117677305526,0.055340110396213685,210.9796227137727
1939.1711453071534,573.5696335860121,4551,41403,0.0025382357804915033,1.4120944810242938e-07,0.00030933050553935633,0.12490580083222602,0.004873458285231814,0.032293288583509244,1.7829961487728465e-06,0.16566938919011548,0.005432874536809761,1.0559155739097652e-07,0.00012814055782156168,0.044122939926723795,0.11121238582887726,0.012926294685676184,0.005680327128610317,0.03217062220556762,158.56619010682155
