error,time,iterations,evaluations,p1,p2,p3,p4,p5,p6,p7,p8,p9
1318.663443554446,293.52878827899985,1419,12731,0.00023102852098845454,0.06942217148172185,3.421520890215672e-05,0.05464279751298561,0.08757965912543948,0.008831191722332208,0.005181164065857276,0.031607488002439,151.54412463610416
1318.6634668477004,293.74602609800013,1447,13391,0.00023083538322578464,0.06944503055928511,3.42228146216258e-05,0.05464109226625138,0.08758188210099607,0.008832797821070255,0.005181219963762503,0.03160673499737899,151.54648667669773
1318.6635197870644,280.31507598800044,1339,12490,0.00023096218217474296,0.06943190219062187,3.421772474670338e-05,0.054642671254067264,0.08759742520156066,0.008832111514600323,0.0051817298213188145,0.03160476174311332,151.5576857160728
16770.437267514902,223.39232116599942,1076,9768,1.0000668503070305e-07,0.30236979817599563,0.0018554112418167762,0.01969185936143887,8.218858640081429e-05,0.21943150155579857,0.0002831471866613715,0.05717971203627572,106.58566468665235
1318.663781431077,285.9745314990005,1275,11815,0.0002308926511697971,0.06944211935112057,3.4221981342574e-05,0.05464109453939103,0.08758556803481021,0.008831497872072694,0.005181270972886581,0.03160527198031849,151.5441505323508
1318.7675703012133,390.8161259449844,1855,16296,0.0002309685875957726,0.0694349879298884,3.42364381319275e-05,0.05463791622005181,0.08758948190829594,0.008838251741358794,0.005182668310088428,0.031602704583645475,151.52835080359606
3843.8046203047547,174.80493101698812,841,7862,8.624959156498691e-07,0.16245052483389974,9.209563039308801e-06,0.0667649058772817,0.09854616676546321,0.014299956202322363,0.006861942701279167,0.02721301522872397,390.3089086469177
1318.7676925135559,247.1692920169735,1126,10717,0.0002309311149998835,0.06943850583722262,3.424075907878711e-05,0.05463613265158049,0.08761538004495163,0.008840657264851634,0.0051845467022108615,0.03160047269460852,151.5206683876338
1318.7676480528505,182.98650895399624,880,8347,0.00023104736377858276,0.06942627765345284,3.4227214314735544e-05,0.05464024642990897,0.08758956570623704,0.008836675617069916,0.005182188594772054,0.031603651836345295,151.5298726387586
1318.7677204204851,249.96014268699219,1134,10811,0.00023118664773095154,0.06941079290509536,3.4260109837787846e-05,0.054631276037745834,0.08759174238633455,0.008840344400780707,0.00518279012668431,0.03160292990943129,151.5155535975931
1318.767549602664,260.24983734000125,1243,11755,0.00023096304416938876,0.0694348535186791,3.425023347591568e-05,0.054634114854175,0.08758424664076334,0.008838054645934429,0.005182530897967949,0.03160348055709594,151.52673088369158
